ID,Name,Updated Name,,Age,Updated Age,Email,Updated Email,Join Date,Updated Join Date,Salary,Updated Salary,Department,Updated Department
1e407ff9-6255-489d-a0de-34135d4f74bd,Hunter Thomas,Hunter Thomas,Hunter Thomas,25,25,xlopez@hotmail.com,None,,2022-03-31,88552,88552.00000,Sales,Sales
379f55b8-87d5-4739-a146-7400b78c24d1,Jeremy Irwin,Jeremy Irwin,Jeremy Irwin,90,90,Jillian Jenkins,invalid@example.com,2022-07-07,2022-07-07,139227,139227.00000,,Support
18261368-dfa1-47f0-afc6-bddf45926b07,Jennifer Hammondquickly,Jennifer Hammondquickly,Jennifer Hammondquickly,66,66,jscottgreen.biz,invalid@example.com,2023-11-21,2023-11-21,65550,65550.00000,Engineering,Engineering
ae7cf7cf-17cf-4c8b-9c44-4f61a9a238e5,Sydney Taylorso,Sydney Taylorso,Sydney Taylorso,39,39,luke56gonzalez.com,invalid@example.com,2021-11-05,2021-11-05,139932,139932.00000,SupportJ,Support
14ed3e6a-e0f5-4bbe-8d93-8665267f5c90,Julia Lee,Julia Lee,Julia Lee,71,71,figueroakayla@yahoo.com,None,,2022-03-31,143456,143456.00000,Marketing,Marketing
f92ea13f-24d3-4792-91e4-5b0e07d90c2c,Lisa Bailey,Lisa Bailey,Lisa Bailey,81,81,milleryvonne@fowler-york.com,milleryvonne@fowler-york.com,2016-10-15,2016-10-15,123018,123018.00000,SupportE,Support
c4892dbb-2554-4ce1-8f11-f6597d7f6782,Patricia Brown DVM,Patricia Brown Dvm,Patricia Brown Dvm,66,66,pperkinshotmail.com,invalid@example.com,2020-09-17,2020-09-17,77311,77311.00000,HR,HR
465e625b-f924-4061-8356-c7e3130f7118,Derek Murphy,Derek Murphy,Derek Murphy,38,38,josephrobertsongmail.com,invalid@example.com,2021-01-12,2021-01-12,,89241.00000,Support,Support
12cc2f16-d641-402e-b22b-3332bafc4f1d,,Unknown,Unknown,71,71,andrew74@hotmail.com,None,2022-02-12,2022-02-12,83354,83354.00000,Sales,Sales
d06f507d-62e5-4bd6-a252-4e60e109d324,Jay Fisher,Jay Fisher,Jay Fisher,44,44,denisemaynard@jordan.com,denisemaynard@jordan.com,2022-12-08,2022-12-08,37701.72599,37701.72599,HR,HR
d5fe9321-49cf-4f14-ac96-7aea1204247b,Craig Conway,Craig Conway,Craig Conway,88,88,gerald47@woodard-smith.com,gerald47@woodard-smith.com,,2022-03-31,81214.52597,81214.52597,Engineering,Engineering
21763907-db1a-400a-8464-e3af593c3abc,Raymond Wilson,Raymond Wilson,Raymond Wilson,44,44,katherinewallacehotmail.com,invalid@example.com,2021-08-26,2021-08-26,128335,128335.00000,HRC,HR
da63d159-e9b0-4b92-b0fe-4e87df3aebc1,Amber Marsh,Amber Marsh,Amber Marsh,23,23,robert43@gmail.com,None,2023-09-08,2023-09-08,112970,112970.00000,Engineering,Engineering
5ca27087-5c90-4d42-94d0-7e9ee3f422b9,Patrick Mooney,Patrick Mooney,Patrick Mooney,57,57,bowersjasmine@hotmail.com,None,2023-06-24,2023-06-24,41511.13965,41511.13965,SalesA,Sales
9b83a5e5-9516-493f-86f8-d6c445edb501,Nicole Cardenas,Nicole Cardenas,Nicole Cardenas,60,60,griffinlinda@harrison.com,griffinlinda@harrison.com,2003-10-16,2003-10-16,51625.8144,51625.81440,Marketing,Marketing
0074dbd5-10d0-463f-9b10-d8473bea04ba,,Unknown,Unknown,22,22,ericjohnson@castillo-mendez.net,ericjohnson@castillo-mendez.net,2023-03-01,2023-03-01,,89241.00000,HR,HR
241e20d7-cc36-495e-86c2-2928bbaa93d8,Mark Wilkins,Mark Wilkins,Mark Wilkins,,54,longjennifer@parker.biz,longjennifer@parker.biz,1991-02-17,1991-02-17,85794,85794.00000,SalesX,Sales
eab72304-0aff-45f8-ab0d-6af25b1620bc,,Unknown,Unknown,30,30,armstrongpamelayahoo.com,invalid@example.com,1998-11-23,1998-11-23,,89241.00000,Engineering,Engineering
05e36d3f-6422-4329-80b2-1fd3543ee254,,Unknown,Unknown,,54,,invalid@example.com,,2022-03-31,,89241.00000,,Support
a8b6e8e3-f2f2-42c6-b2d7-2bbfd9b91125,,Unknown,Unknown,,54,,invalid@example.com,,2022-03-31,,89241.00000,,Support
2205ccce-1a22-44cb-9107-01990df7f935,Eric Cole,Eric Cole,Eric Cole,,54,Denise Martin,invalid@example.com,2022-01-19,2022-01-19,60013,60013.00000,Supportu,Support
7aa89cdd-e328-4425-9556-b0b3da9e4f2a,Danny Martinred,Danny Martinred,Danny Martinred,64,64,amyclements@lee.biz,amyclements@lee.biz,2022-08-30,2022-08-30,,89241.00000,HR,HR
88e92fab-a06c-4c53-a59a-699bf8a583b5,Curtis Parkerlot,Curtis Parkerlot,Curtis Parkerlot,36,36,daniellewilliams@gmail.com,None,2023-12-08,2023-12-08,,89241.00000,HR,HR
13b6428a-ba54-4531-87a1-72c3c3ccf765,Laura Davis,Laura Davis,Laura Davis,60,60,garciaralph@hayes-hernandez.biz,garciaralph@hayes-hernandez.biz,1989-10-06,1989-10-06,61209,61209.00000,Engineeringi,Engineering
3f741e1f-f781-463e-a12a-871d3866c711,,Unknown,Unknown,,54,,invalid@example.com,,2022-03-31,,89241.00000,,Support
58d4c7cd-aa32-4429-a96e-e881c676852c,Sharon Mcclure,Sharon Mcclure,Sharon Mcclure,25,25,mcmahonchristina@hotmail.com,None,2024-06-09,2024-06-09,89208,89208.00000,Marketing,Marketing
ea358a83-5e3b-41dd-b00b-9cbb2bb85b45,Lori Hernandez,Lori Hernandez,Lori Hernandez,83,83,elizabeth22@yahoo.com,None,2021-05-29,2021-05-29,52075,52075.00000,Engineering,Engineering
2f99edc1-c0e7-4963-8b33-09465a2ac68f,Christina Norriscompare,Christina Norriscompare,Christina Norriscompare,84,84,haleygary@yahoo.com,None,2021-07-17,2021-07-17,92668,92668.00000,Engineering,Engineering
